Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11
Los Lagos,10,Quemchi,10209,8783,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Quinchao,10210,8298,0,0,0,0,0,0,0,0,0,0
Los Lagos,10,Rio Negro,10305,14275,2,2,1,0,1,1,6,6,5,4
Los Lagos,10,San Juan de la Costa,10306,7639,13,5,4,3,8,9,8,8,3,7
Los Lagos,10,San Pablo,10307,10553,4,4,1,2,2,2,0,1,0,0
Los Lagos,10,Total,,891440,127,88,74,65,51,50,48,50,53,90
Aysen,11,Aysen,11201,25002,1,0,0,0,0,0,0,0,0,0
Aysen,11,Chile Chico,11401,5121,1,0,0,0,0,0,0,0,0,0
Aysen,11,Cisnes,11202,5828,0,0,0,0,0,0,0,0,0,0
Aysen,11,Cochrane,11301,3685,0,0,0,0,0,0,0,0,0,0
Aysen,11,Coyhaique,11101,61210,0,0,0,0,0,0,0,0,1,1
Aysen,11,Guaitecas,11203,1599,0,0,0,0,0,0,0,0,0,0
Aysen,11,Lago Verde,11102,920,0,0,0,0,0,0,0,0,0,0
Aysen,11,OHiggins,11302,661,0,0,0,0,0,0,0,0,0,0
Aysen,11,Rio Ibanez,11402,2699,0,0,0,0,0,0,0,0,0,0
Aysen,11,Tortel,11303,572,0,0,0,0,0,0,0,0,0,0
Aysen,11,Total,,107297,2,0,0,0,0,0,0,0,1,1
Magallanes y la Antartica,12,Antartica,12202,137,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Cabo de Hornos,12201,1983,3,1,1,1,0,0,0,0,0,1
Magallanes y la Antartica,12,Laguna Blanca,12102,264,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Natales,12401,23782,1,0,1,1,0,0,0,0,1,1
Magallanes y la Antartica,12,Porvenir,12301,7323,1,0,1,4,2,2,0,0,1,1
Magallanes y la Antartica,12,Primavera,12302,694,0,0,1,1,1,0,0,0,0,0
Magallanes y la Antartica,12,Punta Arenas,12101,141984,207,179,173,181,147,126,96,116,146,136
Magallanes y la Antartica,12,Rio Verde,12103,211,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,San Gregorio,12104,681,0,0,0,0,0,0,0,0,1,1
Magallanes y la Antartica,12,Timaukel,12303,282,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Torres del Paine,12402,1021,0,0,0,0,0,0,0,0,0,0
Magallanes y la Antartica,12,Total,,178362,212,180,177,188,151,128,96,116,149,140
